Iteration,Avg,Max,Min
1,0.00010695018484539024,0.0001212268153715602,0.00010218679746576743
2,0.00010976993429927138,0.0001212268153715602,0.00010629251700680272
3,0.00011239520486106252,0.00012376237623762376,0.00010897994768962511
4,0.00011540076348221719,0.0001302931596091205,0.00011210762331838565
5,0.00011782748948414563,0.0001302931596091205,0.0001145475372279496
6,0.00012060854551879993,0.00013087292239235702,0.00011723329425556858
7,0.00012358792988319877,0.0001347164219318335,0.00012062726176115802
8,0.00012610599752691393,0.00013548299688389108,0.00012298610257040955
9,0.00012867598832178286,0.00013900472616068947,0.00012591286829513975
10,0.0001311015672641041,0.00014182385477237272,0.00012832028743744385
11,0.0001334098709765761,0.00014182385477237272,0.00013078733978550875
12,0.00013585329824093554,0.00014660606949127694,0.00013287270794578793
13,0.00013831798664685845,0.0001483239394838327,0.00013493455673998112
14,0.00014079783824902167,0.00015542430836182778,0.00013798813302056022
15,0.00014347156390609984,0.00015710919088766692,0.0001399972000559989
16,0.00014645561028940178,0.00015710919088766692,0.00014210601108426886
17,0.00015014197469562766,0.00016636167027116953,0.0001464343242055938
18,0.00015298591040460344,0.00016636167027116953,0.00014947683109118088
19,0.00015593404972735785,0.00016636167027116953,0.00015220700152207003
20,0.00015909508509061293,0.00016952025767079165,0.00015571473061351605
21,0.0001621837919412885,0.00017161489617298782,0.00015842839036755386
22,0.0001654042210149817,0.00017528483786152498,0.00016152479405588758
23,0.00016850541732885886,0.0001781895937277263,0.00016561775422325274
24,0.0001704935275375211,0.0001781895937277263,0.00016792611251049538
25,0.000172372262514524,0.0001781895937277263,0.00017015484090522376
26,0.00017379132393480535,0.00017885888034340904,0.00017208742040956807
27,0.00017509593589224318,0.00017885888034340904,0.0001733102253032929
28,0.00017669754337110245,0.00017966223499820338,0.00017482517482517483
29,0.0001777803882944301,0.00017966223499820338,0.00017705382436260624
30,0.00017838063811336988,0.00018129079042784627,0.00017815784785319794
31,0.00017862831332192864,0.00018129079042784627,0.0001781895937277263
32,0.00017906899125440877,0.00018129079042784627,0.0001781895937277263
33,0.00017967430276556002,0.000182882223847842,0.00017911517105498835
34,0.00018030885173814668,0.000182882223847842,0.00017966223499820338
35,0.00018094622736157396,0.00018436578171091445,0.00017966223499820338
36,0.00018123346162258363,0.00018436578171091445,0.00018060321473722233
37,0.0001819879075676252,0.00018436578171091445,0.000180635838150289
38,0.00018255595167696915,0.00018436578171091445,0.0001820830298616169
39,0.00018307401498390607,0.00018436578171091445,0.00018211619012930248
40,0.0001838465364588392,0.00018436578171091445,0.000182882223847842
41,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
42,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
43,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
44,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
45,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
46,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
47,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
48,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
49,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
50,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
51,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
52,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
53,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
54,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
55,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
56,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
57,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
58,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
59,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
60,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
61,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
62,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
63,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
64,0.00018436578171091432,0.00018436578171091445,0.00018436578171091445
65,0.00018436595169596105,0.00018439977872026554,0.00018436578171091445
66,0.00018436595169596105,0.00018439977872026554,0.00018436578171091445
67,0.00018436595169596105,0.00018439977872026554,0.00018436578171091445
